dataset_name,DecisionTree,Khiops,LinearRegression,RandomForest,XGBoost
3D_Road_Netw,1,1,1,1,1
Air_Quality_,1,1,1,0,0
Airfoil_Self,1,1,1,0,0
Appliances_e,1,1,1,1,1
Beijing_PM2.,1,1,1,1,1
Bias_correct,1,1,1,1,1
Bike_Sharing,1,1,1,-1,-1
BlogFeedback,0,1,1,-1,-1
Buzz_in_soci,1,1,1,-1,-1
Combined_Cyc,1,1,1,0,0
Communities_,1,0,0,0,0
Communities_,1,1,0,0,0
Concrete_Com,1,1,1,0,0
Condition_Ba,n/a,1,n/a,n/a,0
Cuff-Less_Bl,-1,-1,1,-1,-1
Electrical_G,1,1,1,1,-1
Facebook_Com,1,1,1,-1,-1
Geographical,1,0,1,0,0
Greenhouse_G,-1,1,1,-1,-1
Individual_h,1,n/a,n/a,-1,-1
KEGG_Metabol,1,1,1,0,0
KEGG_Metabol,1,1,1,1,1
Online_News_,0,-1,0,-1,-1
Online_Video,1,1,n/a,0,1
PM2.5_Data_o,1,1,1,0,0
Parkinsons_T,1,1,1,0,0
Physicochemi,n/a,1,n/a,n/a,n/a
Production_q,1,1,1,0,0
Relative_loc,1,1,0,1,1
SGEMM_GPU_ke,-1,1,1,-1,-1
SML2010_Data,1,1,1,1,1
Seoul_Bike_S,1,1,1,0,0
UJIIndoorLoc,1,1,1,0,0
Uber_locatio,1,1,1,0,0
YearPredicti,1,1,1,0,-1
